model,location,asof,replicate,horizon,y,q50,w95,c95,r_star,w_shrink,clipped
member,North Carolina,2026-02-04,2,4,202.0,132.5716579940392,233.66946912618425,1.0,0.9906115554966872,0.4011172112871904,False
control,North Carolina,2026-02-04,2,1,158.0,152.60046963342643,206.9882307637145,1.0,0.9906115554966872,0.4011172112871904,False
control,North Carolina,2026-02-04,2,2,177.0,141.15543441091947,266.09706892328734,1.0,0.9906115554966872,0.4011172112871904,False
control,North Carolina,2026-02-04,2,3,215.0,128.75664625320357,331.95370909946257,1.0,0.9906115554966872,0.4011172112871904,False
control,North Carolina,2026-02-04,2,4,202.0,117.31161103069657,413.9287738806692,1.0,0.9906115554966872,0.4011172112871904,False
member,North Carolina,2026-03-04,0,1,238.0,192.33103701433697,211.7687482019561,1.0,0.982379629495897,0.4056654195617317,False
member,North Carolina,2026-03-04,0,2,196.0,183.6352188514547,207.67659847824683,1.0,0.982379629495897,0.4056654195617317,False
member,North Carolina,2026-03-04,0,3,207.0,173.91636325764512,220.97608508030206,1.0,0.982379629495897,0.4056654195617317,False
control,North Carolina,2026-03-04,0,1,238.0,195.54080881282613,242.63440674680515,1.0,0.982379629495897,0.4056654195617317,False
control,North Carolina,2026-03-04,0,2,196.0,192.4694872084362,329.6551855378534,1.0,0.982379629495897,0.4056654195617317,False
control,North Carolina,2026-03-04,0,3,207.0,186.32684399965632,431.0087984827215,1.0,0.982379629495897,0.4056654195617317,False
member,North Carolina,2026-03-04,1,1,238.0,191.76358448840895,209.19663762371886,1.0,0.982379629495897,0.4056654195617317,False
member,North Carolina,2026-03-04,1,2,196.0,183.55979477767488,206.12021648219357,1.0,0.982379629495897,0.4056654195617317,False
member,North Carolina,2026-03-04,1,3,207.0,171.25411021157376,206.1202164821936,1.0,0.982379629495897,0.4056654195617317,False
control,North Carolina,2026-03-04,1,1,238.0,193.0623388838646,239.27406893585345,1.0,0.982379629495897,0.4056654195617317,False
control,North Carolina,2026-03-04,1,2,196.0,188.95462954591005,295.7550723327288,1.0,0.982379629495897,0.4056654195617317,False
control,North Carolina,2026-03-04,1,3,207.0,181.76613820448955,378.96185960967057,1.0,0.982379629495897,0.4056654195617317,False
member,North Carolina,2026-03-04,2,1,238.0,189.3826474563777,214.2197159752469,1.0,0.982379629495897,0.4056654195617317,False
member,North Carolina,2026-03-04,2,2,196.0,181.10362461675464,204.905815280671,1.0,0.982379629495897,0.4056654195617317,False
member,North Carolina,2026-03-04,2,3,207.0,168.68509035732004,204.93168722704445,1.0,0.982379629495897,0.4056654195617317,False
control,North Carolina,2026-03-04,2,1,238.0,191.38960794242774,240.0129137440175,1.0,0.982379629495897,0.4056654195617317,False
control,North Carolina,2026-03-04,2,2,196.0,185.18237741456522,308.34417647157,1.0,0.982379629495897,0.4056654195617317,False
control,North Carolina,2026-03-04,2,3,207.0,175.87153162277144,381.74467746354503,1.0,0.982379629495897,0.4056654195617317,False
