season,asof,location,gamma,g_raw,w,g_hat,r_star_raw,r_star,clipped_low,clipped_high,reason
2023-24,2023-12-16,New York,2.1875,0.35922571545813575,0.42055356605175703,0.15107365565341277,1.0690622425844172,1.0690622425844172,False,False,ok
2023-24,2023-12-16,Pennsylvania,2.1875,0.32737667113672764,0.4142291631704163,0.13560896452648327,1.061992669497821,1.061992669497821,False,False,ok
2023-24,2023-12-16,Vermont,2.1875,0.0,0.17647058823529413,0.0,1.0,1.0,False,False,ok
2023-24,2023-12-16,Wyoming,2.1875,0.020619287202735315,0.3468344475029493,0.007151479084865336,1.0032692475816527,1.0032692475816527,False,False,ok
2023-24,2023-12-23,Alaska,2.1875,-0.6931471805599453,0.08108108108108107,-0.05620112274810367,0.9743080581722955,0.9743080581722955,False,False,ok
2023-24,2023-12-23,California,2.1875,0.5035040535369832,0.42462714924489314,0.21380149088665726,1.097737824405329,1.097737824405329,False,False,ok
2023-24,2023-12-23,New York,2.1875,0.21041142753870545,0.4226866460547629,0.08893810059793018,1.0406574174161967,1.0406574174161967,False,False,ok
2023-24,2023-12-23,Pennsylvania,2.1875,0.5838507587808808,0.4191496551312886,0.24472084419114734,1.1118723859159532,1.1118723859159532,False,False,ok
2023-24,2023-12-23,Vermont,2.1875,0.4054651081081646,0.19565217391304346,0.07933012984724959,1.0362652022158856,1.0362652022158856,False,False,ok
2023-24,2023-12-23,Wyoming,2.1875,-0.490622916448471,0.3278810408921933,-0.16086595253068825,0.9264612788431139,0.9264612788431139,False,False,ok
2023-24,2023-12-30,Alaska,2.1875,0.18232155679395468,0.13846153846153847,0.025244523248393727,1.01154035348498,1.01154035348498,False,False,ok
2023-24,2023-12-30,California,2.1875,0.022070684119309902,0.4256693202008049,0.009394813105433346,1.004294771705341,1.004294771705341,False,False,ok
2023-24,2023-12-30,New York,2.1875,0.3527056204844028,0.4241527044410846,0.14960104280003025,1.0683890481371567,1.0683890481371567,False,False,ok
2023-24,2023-12-30,Pennsylvania,2.1875,0.3292331139156923,0.42274573559587575,0.13918189492481012,1.0636260091084846,1.0636260091084846,False,False,ok
2023-24,2023-12-30,Vermont,2.1875,0.4595323293784399,0.24118476727785612,0.11083219791779016,1.0506661476195611,1.0506661476195611,False,False,ok
2023-24,2023-12-30,Wyoming,2.1875,0.936769263217696,0.3363284923205516,0.3150621939502417,1.1440284315201106,1.1440284315201106,False,False,ok
2023-24,2024-01-06,Alaska,2.1875,0.0,0.11111111111111112,0.0,1.0,1.0,False,False,ok
2023-24,2024-01-06,California,2.1875,-0.21340972123958135,0.42544109449178763,-0.09079326537935478,0.9584945072551521,0.9584945072551521,False,False,ok
2023-24,2024-01-06,New York,2.1875,-0.05580354813587185,0.42485778804956065,-0.023708572026323697,0.9891617956451092,0.9891617956451092,False,False,ok
2023-24,2024-01-06,Pennsylvania,2.1875,-0.31006743541258075,0.4230719767099282,-0.13118084281337852,0.9400316147138841,0.9400316147138841,False,False,ok
2023-24,2024-01-06,Vermont,2.1875,-0.2363887780642302,0.2548435171385991,-0.060242147613984144,0.9724607325193215,0.9724607325193215,False,False,ok
2023-24,2024-01-06,Wyoming,2.1875,0.15984870094189674,0.3755690440060698,0.060034223798360306,1.0274442165935362,1.0274442165935362,False,False,ok
2023-24,2024-01-13,Alaska,2.1875,0.6931471805599456,0.15789473684210525,0.10944429166735983,1.050031676190793,1.050031676190793,False,False,ok
2023-24,2024-01-13,California,2.1875,-0.3167671655418802,0.42448102797104337,-0.13446165205669097,0.9385318162026556,0.9385318162026556,False,False,ok
