model,season,location,asof,horizon,wis,y,w0.01,c0.01,w0.025,c0.025,w0.05,c0.05,w0.1,c0.1,w0.15,c0.15,w0.2,c0.2,w0.25,c0.25,w0.3,c0.3,w0.35,c0.35,w0.4,c0.4,w0.45,c0.45,base_wis
adaptive,2023-24,02,2023-10-21,1,7.4352043117186835,33.0,296.9138960717851,1.0,199.98426899588708,1.0,145.90642746134878,1.0,96.93084341837856,1.0,72.37846888798845,1.0,55.898522897921175,1.0,43.41574231067531,1.0,32.76432985278106,1.0,23.46746735392323,1.0,14.895546695959599,1.0,7.14227267293316,1.0,11.9986689142
adaptive,2023-24,02,2023-10-21,2,10.063517014398382,39.0,350.99393619227527,1.0,260.1913710261779,1.0,192.84136216919524,1.0,130.64457938362776,1.0,97.53985568439876,1.0,75.48243700419265,1.0,57.82093742983056,1.0,44.056459323123406,1.0,31.63006469441827,1.0,20.395528667653927,1.0,9.983727185707096,1.0,15.90756563
adaptive,2023-24,02,2023-10-21,3,13.03137483331459,17.0,330.4250623970915,1.0,248.63792852311747,1.0,190.74343553476078,1.0,132.56817547019295,1.0,100.92958765009625,1.0,78.60562454861152,1.0,60.8471776081933,1.0,45.91461004028458,0.0,33.82626511836919,0.0,22.131819576599415,0.0,10.78490370721627,0.0,2.7619369582
adaptive,2023-24,06,2023-10-21,0,16.475062721513186,76.0,177.3849549568125,1.0,129.82257811747934,1.0,97.49487475690273,1.0,69.7649243739362,1.0,54.05905590949684,1.0,43.022142848394466,0.0,33.74852980212718,0.0,25.803444210437206,0.0,19.459960349503525,0.0,12.955538621682386,0.0,6.508958309434739,0.0,16.3225637941
adaptive,2023-24,06,2023-10-21,1,30.34038986628363,97.0,312.36514233780315,1.0,212.9449950004495,1.0,147.85881434231226,1.0,99.49407701564535,1.0,74.50953410290323,0.0,57.87515809488947,0.0,45.47878140619147,0.0,33.715331369655495,0.0,24.652597824628437,0.0,15.666376842051157,0.0,7.970279493898801,0.0,28.1112503544
adaptive,2023-24,06,2023-10-21,2,127.60296419929269,231.0,489.1072915681607,1.0,308.3429843123079,1.0,208.02581245912933,0.0,129.24931500163274,0.0,93.91496989327271,0.0,70.80978355472469,0.0,54.097361011960544,0.0,40.38346383111027,0.0,28.568098947269768,0.0,19.103594914290305,0.0,9.854880692376767,0.0,91.4451463622
adaptive,2023-24,06,2023-10-21,3,237.8349940479208,372.0,599.9303608574808,1.0,384.9720825483638,1.0,258.55303669811576,0.0,156.27309668325924,0.0,109.8054361545077,0.0,81.91849522861753,0.0,61.502972075985724,0.0,45.72040072028367,0.0,32.544791547173716,0.0,20.97989650465036,0.0,10.228363057683168,0.0,164.6783653294
adaptive,2023-24,36,2023-10-21,0,7.561727840766517,47.0,206.80519652930388,1.0,146.7031318218826,1.0,106.34517386768213,1.0,73.4962224777862,1.0,55.0805680948976,1.0,43.188950799161915,1.0,33.15961939824397,1.0,25.57481506001736,1.0,19.120782795467406,0.0,12.035370137457061,0.0,6.302949757477936,0.0,14.4625759778
adaptive,2023-24,36,2023-10-21,1,13.088525211688069,56.0,459.27655026295514,1.0,287.7166694251953,1.0,193.942347538465,1.0,121.62590806392083,1.0,86.66401300792913,1.0,65.0026549442108,1.0,49.61321544025479,1.0,36.61373901910477,1.0,25.762593420102668,0.0,17.049876706678244,0.0,8.366616426321627,0.0,19.8738262564
adaptive,2023-24,36,2023-10-21,2,29.25442607275732,88.0,765.784220425782,1.0,468.08132103995774,1.0,310.7205360470834,1.0,178.40281596192247,1.0,119.61940862471204,1.0,84.9708511657795,1.0,62.840049536112296,0.0,45.82154364919777,0.0,31.146386364461957,0.0,20.34566732843522,0.0,9.590555647506513,0.0,33.4162583363
