model,season,location,asof,horizon,wis,y,w0.01,c0.01,w0.025,c0.025,w0.05,c0.05,w0.1,c0.1,w0.15,c0.15,w0.2,c0.2,w0.25,c0.25,w0.3,c0.3,w0.35,c0.35,w0.4,c0.4,w0.45,c0.45,base_wis
adaptive,2023-24,06,2023-10-21,3,229.374243125521,372.0,784.4865585095143,1.0,478.17348593654526,1.0,301.96106303555445,0.0,180.60293154324026,0.0,126.54440112871437,0.0,93.00009456273348,0.0,68.16588953776912,0.0,50.70022826130378,0.0,35.951070948924496,0.0,22.81164611435599,0.0,11.061867984284458,0.0,164.6783653294
adaptive,2023-24,36,2023-10-21,0,7.642798935631279,47.0,209.89004562249883,1.0,145.29724206968606,1.0,107.18824202678466,1.0,72.5942663652003,1.0,54.77857301271094,1.0,43.48311623983305,1.0,34.09367975380549,1.0,25.617514887038254,1.0,18.661978837465817,0.0,11.865833919225736,0.0,6.363382864365818,0.0,14.4625759778
adaptive,2023-24,36,2023-10-21,1,13.080621553262777,56.0,467.7247388008396,1.0,288.46242039198586,1.0,190.71152112284943,1.0,117.30496471687957,1.0,84.19630085424015,1.0,62.67308083354136,1.0,48.02205605904955,1.0,36.19463413699721,1.0,25.834114525333067,0.0,17.620538136975664,0.0,8.427472771186302,0.0,19.8738262564
adaptive,2023-24,36,2023-10-21,2,29.165455381477287,88.0,723.7158541077791,1.0,449.6963912767981,1.0,285.3000443804945,1.0,163.36960513803194,1.0,111.60697650358367,1.0,80.97248941528804,1.0,60.544823497756745,0.0,45.11776520650434,0.0,32.440575862000486,0.0,20.506977063800964,0.0,10.484046067806702,0.0,33.4162583363
adaptive,2023-24,36,2023-10-21,3,49.263490761664876,123.0,810.2866013733267,1.0,525.6731932460568,1.0,339.2057790402485,1.0,199.41451527411286,1.0,134.66728555451576,1.0,93.75563457944757,0.0,67.87608388656867,0.0,49.16557879290113,0.0,34.76332518114348,0.0,22.257248980543558,0.0,10.654274923064214,0.0,47.9134076669
adaptive,2023-24,42,2023-10-21,0,6.4459954557254155,49.0,206.7994226231994,1.0,145.99478613884315,1.0,108.50354788654377,1.0,75.57464677548273,1.0,57.888934068365685,1.0,45.846482644753955,1.0,35.741788607791,1.0,26.72335017521416,1.0,20.1662654164004,1.0,13.18126796662628,1.0,6.432868184972605,0.0,9.0798589897
adaptive,2023-24,42,2023-10-21,1,12.60261099433703,30.0,557.1489842807055,1.0,349.4682074215111,1.0,232.3933156054478,1.0,141.7624926967743,1.0,102.50242249445617,1.0,77.76095751846897,1.0,59.179477784432585,1.0,44.037993452056284,1.0,31.685161830498867,0.0,20.556423211703205,0.0,10.101486262850003,0.0,13.3543262762
adaptive,2023-24,42,2023-10-21,2,24.78918414178122,81.0,1477.8482062369799,1.0,848.6998583445535,1.0,493.38919448211794,1.0,265.66885813517825,1.0,178.20025257343707,1.0,129.31092756705817,1.0,93.22761855359911,1.0,66.89673810953622,1.0,47.11041159987417,0.0,29.928312330283248,0.0,14.997610588867744,0.0,23.4489258744
adaptive,2023-24,42,2023-10-21,3,37.18248362435461,89.0,2798.7833071451264,1.0,1628.169415069705,1.0,951.0684288520829,1.0,485.41997668734996,1.0,302.8831728934133,1.0,202.77959775598012,1.0,142.3151499518398,1.0,97.64301025559021,1.0,66.80837543803541,1.0,41.349238620261204,0.0,20.10871591899697,0.0,27.4539032424
adaptive,2023-24,50,2023-10-21,2,10.160708696804813,2.0,967.454759149761,1.0,605.3432016746303,1.0,376.5837145011688,1.0,180.98968422671103,1.0,100.2479187486649,1.0,59.763182330934846,1.0,36.197936845342205,1.0,22.861854849689816,1.0,13.336081995652393,1.0,7.7264290255817905,1.0,3.8103091416149693,0.0,1.0722385295
adaptive,2023-24,50,2023-10-21,3,12.180140814082298,5.0,944.6438497470347,1.0,621.7352209285062,1.0,397.75607301637353,1.0,209.56700278882332,1.0,125.50555701972951,1.0,81.09589838197907,1.0,52.13307753127226,1.0,34.70120264376862,1.0,21.22898052503826,1.0,13.310381843079423,1.0,5.783533773961436,1.0,2.3275769444
adaptive,2023-24,56,2023-10-21,1,2.0369333771369202,1.0,108.96030574069118,1.0,66.1778030391061,1.0,42.82093137824512,1.0,25.30327763259939,1.0,17.51765374564573,1.0,12.682349227351976,1.0,8.78279337912447,1.0,6.812420901084451,1.0,4.877826625904606,1.0,2.9202951839765507,0.0,1.9416812931149867,0.0,1.8078588339000001
adaptive,2023-24,56,2023-10-21,2,2.581711813319581,5.0,152.73953869920413,1.0,92.67870589218751,1.0,59.509484836036194,1.0,34.050095543965995,1.0,22.438002479161188,1.0,15.571247773907317,1.0,11.678435830430487,1.0,8.755738854162685,1.0,4.880532078400784,1.0,3.888734038242792,0.0,0.9809762301732781,0.0,1.3611199509
adaptive,2023-24,56,2023-10-21,3,4.064136910052954,9.0,160.5823905282829,1.0,100.23990754452835,1.0,66.1544713425625,1.0,39.02261300723685,1.0,26.267216562488052,1.0,17.56017585325658,1.0,12.651638816299695,1.0,8.78008792662829,0.0,5.853391951085527,0.0,2.929401428038942,0.0,1.9440436324267005,0.0,2.630842503
adaptive,2023-24,02,2023-10-28,0,5.755852712733446,33.0,174.68456684514516,1.0,129.39528221399408,1.0,96.30092452300292,1.0,69.11894091574862,1.0,52.93518956049237,1.0,41.720249287621826,1.0,32.57550126799531,1.0,25.15166843009919,1.0,18.323719463247357,1.0,11.620222421905389,1.0,6.107906487749126,0.0,1.7817043478
adaptive,2023-24,02,2023-10-28,1,9.307541146439707,39.0,337.7561765600944,1.0,237.80149928240326,1.0,174.99018556856328,1.0,119.41547150112025,1.0,89.38782029837645,1.0,68.48215175116742,1.0,52.93678874700899,1.0,40.4099753442596,1.0,29.17966261702691,1.0,19.090907522884464,1.0,9.197255180113913,0.0,5.4144401972
