location,fips,asof,horizon,wis_2s,base_wis,rel_2s,season,wis_pf,rel_pf
Washington,53,2023-10-07,1,28.33573728994899,20.583871563106936,1.376599013605193,2023-24,27.37784032504415,1.330062726106115
Washington,53,2023-10-07,2,41.68699184781808,22.280557785164813,1.871003062390779,2023-24,39.871677557533374,1.7895278000661794
Washington,53,2023-10-07,3,51.347937297524595,18.171164693973022,2.8257923012802575,2023-24,48.69965215789828,2.680051222806367
West Virginia,54,2023-10-07,0,0.8395254897607162,3.2102176695027826,0.2615166870883079,2023-24,0.803723197886,0.25036408138968513
West Virginia,54,2023-10-07,1,0.9779975530761685,3.7964905356010092,0.2576056871221319,2023-24,0.9992234725135107,0.26319661886245876
West Virginia,54,2023-10-07,2,1.7705937689259656,4.3817366078008595,0.40408493878289165,2023-24,1.6964021100659123,0.38715291718945105
West Virginia,54,2023-10-07,3,3.6619182705184583,4.921619177691782,0.7440474645248522,2023-24,3.61007769795029,0.7335142292832582
Wisconsin,55,2023-10-07,0,7.484817287269886,4.4077683095309235,1.6980968058337946,2023-24,7.751997599143907,1.7587125853193672
Wisconsin,55,2023-10-07,1,14.226549483418498,4.958524988597711,2.869109163739804,2023-24,15.287592323597082,3.0830927259117167
Wisconsin,55,2023-10-07,2,24.311949927029183,5.467089959660463,4.446963577774947,2023-24,27.46767088051619,5.024184910654386
Wisconsin,55,2023-10-07,3,31.90643739466091,6.951237385721692,4.590037086087561,2023-24,38.36074126466207,5.518548588695533
Wyoming,56,2023-10-07,0,4.4944690656311215,1.1312251013814485,3.9730987759575793,2023-24,5.71967904080987,5.056181156009548
Wyoming,56,2023-10-07,1,10.689620882099023,1.1858862424493801,9.014035663336665,2023-24,11.95442381384713,10.080582256486888
Wyoming,56,2023-10-07,3,16.591107542153672,1.4472198664160558,11.464123680972161,2023-24,10.398888607106482,7.185424169762568
Puerto Rico,72,2023-10-07,0,15.154636855743359,4.502364449796672,3.3659285081703563,2023-24,14.61483770292713,3.2460361363210257
Puerto Rico,72,2023-10-07,1,24.452269486352733,7.203182623869717,3.3946479998054535,2023-24,22.352472782539156,3.1031384250162035
Puerto Rico,72,2023-10-07,2,35.31174999527701,41.13022532253583,0.8585352917074638,2023-24,33.46076150942441,0.8135321712203406
Puerto Rico,72,2023-10-07,3,40.82173759317331,24.647737775986457,1.6562062597462672,2023-24,37.157315856035005,1.5075345329353613
Alabama,01,2023-10-14,0,4.8804616903646005,6.142319111886773,0.7945633565211234,2023-24,4.811188749938216,0.7832853784212351
Alabama,01,2023-10-14,1,8.778852559238967,6.874024189502763,1.2771052759233876,2023-24,8.53562512447591,1.2417217177545807
Alabama,01,2023-10-14,2,14.794773475573422,10.067846886164508,1.4695071987938928,2023-24,14.084282652923939,1.398936913937271
Alabama,01,2023-10-14,3,22.446791860755944,18.66979569150039,1.202305168822767,2023-24,20.975872567821625,1.1235191276019747
Alaska,02,2023-10-14,0,3.1708156369859215,6.797465187847529,0.46647030170227105,2023-24,3.426719490965275,0.5041172549278435
Alaska,02,2023-10-14,1,6.141321534107523,12.654718627447146,0.48529893985848505,2023-24,6.569499568143658,0.5191343846946467
Alaska,02,2023-10-14,2,8.89900021298602,14.237473594714206,0.6250406825189728,2023-24,8.636272596047684,0.6065874355162267
Alaska,02,2023-10-14,3,11.885189323782297,18.28617411828467,0.6499549466664044,2023-24,10.333670661760735,0.5651084034810712
Arizona,04,2023-10-14,0,19.521102157385563,20.1736461375918,0.9676536419963133,2023-24,19.48443184872766,0.9658359086818793
Arizona,04,2023-10-14,1,15.617474336477477,17.898426006347023,0.8725613263948075,2023-24,15.460517216702943,0.8637920011078313
Arizona,04,2023-10-14,2,16.93883148806887,18.94124443403129,0.8942829256580032,2023-24,16.69516173355334,0.8814184195605193
Arizona,04,2023-10-14,3,63.28140149380188,61.36940373366775,1.0311555538071033,2023-24,62.79799564049828,1.0232785691226587
Arkansas,05,2023-10-14,0,2.841097843702567,3.881573066839362,0.7319449601436925,2023-24,2.85865797104523,0.7364689320077495
Arkansas,05,2023-10-14,1,5.620594239752067,5.555892310988332,1.0116456412655386,2023-24,5.8122288948393654,1.0461377884060237
Arkansas,05,2023-10-14,2,9.230732811694919,6.469020499857175,1.426913519890487,2023-24,9.226395181819216,1.4262429964509957
Arkansas,05,2023-10-14,3,13.84681286395891,8.00567337323373,1.7296250069674988,2023-24,13.525805721142028,1.6895275500952085
California,06,2023-10-14,0,12.964410118514904,15.369325889150192,0.8435249673290478,2023-24,15.286931075389145,0.9946390092606981
California,06,2023-10-14,1,12.346704673751105,27.827283264528283,0.44369062392409586,2023-24,15.669197488690845,0.56308757630913
California,06,2023-10-14,2,19.61855879417642,39.07316845879329,0.5020979758748314,2023-24,22.271222450496403,0.5699876239620474
California,06,2023-10-14,3,71.19215849994214,99.02813495028433,0.7189084045224436,2023-24,73.43543269363306,0.7415613020532021
Colorado,08,2023-10-14,0,3.092683686290875,4.769604566567404,0.6484151134811207,2023-24,3.3965777956992045,0.7121298523377712
Colorado,08,2023-10-14,1,6.203059019013849,6.42448503871995,0.9655340438382873,2023-24,6.842901395894738,1.0651283884471705
Colorado,08,2023-10-14,2,11.125752047089012,10.630745256169954,1.0465636960524252,2023-24,12.201427195915686,1.1477489961330911
Colorado,08,2023-10-14,3,18.78817254793943,19.483158525433083,0.96432888555588,2023-24,19.63401071181828,1.0077426966571297
Connecticut,09,2023-10-14,0,0.7012266244345753,2.7083369618044015,0.2589140990666798,2023-24,0.6744883199189774,0.249041507549196
Connecticut,09,2023-10-14,1,3.0598509813233896,3.6026681678555907,0.8493291190747381,2023-24,3.302287185092688,0.9166226339014459
Connecticut,09,2023-10-14,2,6.647580264065791,5.323995746087896,1.2486073582892083,2023-24,7.0025148749272015,1.3152743181796662
Connecticut,09,2023-10-14,3,2.624152638550577,5.056944735925617,0.5189205687592422,2023-24,2.250941435145533,0.4451188519333351
District of Columbia,11,2023-10-14,0,0.9182246569055097,0.821680634545476,1.1174957986121192,2023-24,0.9836941809698784,1.1971733780899223
District of Columbia,11,2023-10-14,1,2.2534743765855683,1.07221802854985,2.1016941672146103,2023-24,2.4333631545014804,2.269466740633477
Florida,12,2023-10-14,0,37.32027113553978,35.21068564955215,1.059913218020918,2023-24,36.245051891508204,1.0293764867929862
Florida,12,2023-10-14,1,53.650051539349256,47.039014107445404,1.1405437073320261,2023-24,50.89735738304456,1.0820243227629307
Florida,12,2023-10-14,2,106.3261852266659,125.2923368710209,0.8486248072467574,2023-24,100.47047562397307,0.8018884325495496
Florida,12,2023-10-14,3,137.73419998632235,134.5515624209068,1.023653664871312,2023-24,123.76292914350843,0.9198178521060264
Georgia,13,2023-10-14,0,4.325109587645364,4.372370548183744,0.989190998334299,2023-24,4.233189000765765,0.968167943250877
