Reff__FREE	eps1__FREE	phi1__FREE	theta__FREE	mult__FREE	r__FREE
1.103467027288756563e+00 8.921547012864380899e-02 8.516705833746549104e+00 5.685714291339083459e-01 4.637905333897585081e-01 3.000716909967884050e+01
1.084527552111395732e+00 6.874657039441095518e-02 6.441354906060301033e+00 5.793949645774622015e-01 4.257916891551180028e-01 2.920303708320473390e+01
1.101481024118273311e+00 7.429030367716783767e-02 1.270971720281403350e+01 5.952583373001465450e-01 4.804847724997492464e-01 2.809737716976883348e+01
1.101481024118273311e+00 7.429030367716783767e-02 1.270971720281403350e+01 5.952583373001465450e-01 4.804847724997492464e-01 2.809737716976883348e+01
1.053481088449596870e+00 9.658534160694896842e-02 0.000000000000000000e+00 5.833007571861300589e-01 3.385835230649916205e-01 2.714623352663817712e+01
1.142316068810022012e+00 8.054834699962082345e-02 1.358582043217979596e+01 5.607532538043640269e-01 3.243349220173317171e-01 2.947378354107740961e+01
1.260370112978682844e+00 5.970759209555497049e-02 1.634455831903740375e+01 5.946947076356641215e-01 3.368607704859434837e-01 2.926134851008963267e+01
1.232266712192765290e+00 9.032699479299213796e-02 1.782921616340985338e+01 5.727909823140591161e-01 2.862319817700022528e-01 2.758694108188761618e+01
1.232266712192765290e+00 9.032699479299213796e-02 1.782921616340985338e+01 5.727909823140591161e-01 2.862319817700022528e-01 2.758694108188761618e+01
1.250466042133149935e+00 4.960447301564478023e-02 7.952019312713220600e+00 5.482957642322869862e-01 3.274068081839439093e-01 2.915980312527870311e+01
1.250592957903035707e+00 9.461288812833514028e-02 1.744782075817611400e+01 5.356106607255785024e-01 3.835930561382413506e-01 2.760366760273641518e+01
1.227261696058173035e+00 1.015124618921547373e-01 4.841853428619485200e+00 5.724802033802198764e-01 3.622809588437883033e-01 2.510408034971443669e+01
1.227711793928629058e+00 1.060546468117464225e-01 1.366459331136036681e+01 5.543026035183301614e-01 3.454014322688676586e-01 2.670001564563002461e+01
1.227711793928629058e+00 1.060546468117464225e-01 1.366459331136036681e+01 5.543026035183301614e-01 3.454014322688676586e-01 2.670001564563002461e+01
1.206721303822285041e+00 8.787763586187390119e-02 1.613708915808279087e+01 5.439641839751354624e-01 3.131034225557511319e-01 2.449482694009102346e+01
1.209991463967785119e+00 6.644104651841453713e-02 2.466960299664246747e+01 5.422906451829957453e-01 3.354650456945377224e-01 2.510134987956915964e+01
1.199551905682507913e+00 5.154095583868688324e-02 2.445715926242293037e+01 5.511039947071646461e-01 3.097675879635564122e-01 2.665769167085010594e+01
1.199551905682507913e+00 5.154095583868688324e-02 2.445715926242293037e+01 5.511039947071646461e-01 3.097675879635564122e-01 2.665769167085010594e+01
1.078127749739774544e+00 0.000000000000000000e+00 5.601514074093558726e+00 5.453552421954110940e-01 2.913637782741463900e-01 2.413498782021030209e+01
1.086838111613414037e+00 1.682218470675835020e-02 6.228434933797593054e-01 5.078287408416791715e-01 3.013534958071615866e-01 2.788835517140036657e+01
1.070446234043179956e+00 4.118081368472209514e-02 4.662339279502978329e-01 5.472544912465033828e-01 3.194680802860545565e-01 2.416121734269718146e+01
1.124726936433246616e+00 4.813054424490732786e-02 2.768869974697841796e-01 5.667959319737654322e-01 2.977141127737946147e-01 2.280913860022553052e+01
1.124726936433246616e+00 4.813054424490732786e-02 2.768869974697841796e-01 5.667959319737654322e-01 2.977141127737946147e-01 2.280913860022553052e+01
1.155066825043866707e+00 3.169852191370101102e-02 0.000000000000000000e+00 5.683241811660323384e-01 2.935343827486914248e-01 2.263963994287120229e+01
1.107739192844377385e+00 1.753341542560829525e-02 5.136065268751418778e+00 5.439037861526235806e-01 2.669992336730482307e-01 2.336825809931993447e+01
1.084187541678835354e+00 4.781691906408015724e-02 1.499618505253806688e+00 6.049626627889201913e-01 2.894189220751786640e-01 2.071886888900293400e+01
1.056786870058799899e+00 1.401728855662146001e-02 9.810300547788974868e-01 5.574164279310434011e-01 2.714456518849367450e-01 2.408452196237802312e+01
1.008981750683138889e+00 4.228836163022613864e-02 3.208505298766390901e+00 5.741594192603942659e-01 3.106135434732053002e-01 2.213044298136663102e+01
1.100476367911609854e+00 7.727721354265548737e-02 2.798546439377073813e+00 6.000310445877008458e-01 3.812571042060610149e-01 2.374083052163570429e+01
1.071298379014256508e+00 6.260666527117164648e-02 3.880157604292504114e+00 5.983312500108570742e-01 3.344400222000529777e-01 2.276961576975857326e+01
1.071298379014256508e+00 6.260666527117164648e-02 3.880157604292504114e+00 5.983312500108570742e-01 3.344400222000529777e-01 2.276961576975857326e+01
1.099727071773535458e+00 6.035170418614667354e-02 0.000000000000000000e+00 5.908185516393080761e-01 2.862845052310866167e-01 2.297944828914270587e+01
1.171681165011440040e+00 6.854130695263375983e-02 8.591316728041338280e+00 5.942711304385754900e-01 2.940929883085813268e-01 2.405671617167872967e+01
1.171681165011440040e+00 6.854130695263375983e-02 8.591316728041338280e+00 5.942711304385754900e-01 2.940929883085813268e-01 2.405671617167872967e+01
1.145696760156641014e+00 7.052333197669466425e-02 1.889550772733524298e+01 5.804781591160643739e-01 2.816271195493450508e-01 2.408095694875779813e+01
1.182609232599085791e+00 4.303100848464630479e-02 1.622043771745660479e+01 6.032140770230792759e-01 2.977180194606276475e-01 2.500039637841154416e+01
1.182609232599085791e+00 4.303100848464630479e-02 1.622043771745660479e+01 6.032140770230792759e-01 2.977180194606276475e-01 2.500039637841154416e+01
1.144269702961364876e+00 5.031972189010091440e-02 0.000000000000000000e+00 5.854113741371365087e-01 2.822053917572829862e-01 2.175400316914696219e+01
1.187468676932254663e+00 4.187398614438495037e-02 2.280553676370568894e+01 5.514137131239977840e-01 2.787079105199543605e-01 2.955787689522300354e+01
1.135723564481553094e+00 1.685474682891339310e-02 1.536187526841620432e+01 5.663822713284221155e-01 3.043409884734518678e-01 2.733412472337800736e+01
1.126493577119336509e+00 6.963234530535665490e-02 2.113588304657817218e+01 5.729432867664913109e-01 2.363926586049175660e-01 2.732635382599760021e+01
1.194902374612797802e+00 2.772657466247905808e-02 8.243906366495094673e+00 5.468744799707941917e-01 2.651230461490411416e-01 2.720667766718629466e+01
