Reff__FREE	eps1__FREE	phi1__FREE	theta__FREE	mult__FREE	r__FREE
9.118946033371151394e-01 1.563384780299249821e-02 3.866023844667844145e+01 2.218962312633975531e-01 3.799333402060345311e-01 2.819689040671378422e+01
8.679888997674197748e-01 1.059440407191490352e-01 3.715250370543932945e+01 2.383994680350805528e-01 3.684334125295697371e-01 2.762860736806844386e+01
9.061492596885979411e-01 1.163981752555512256e-01 3.911778814817660077e+01 2.319265549630051548e-01 3.873887151606310586e-01 2.719633648333288178e+01
9.061492596885979411e-01 1.163981752555512256e-01 3.911778814817660077e+01 2.319265549630051548e-01 3.873887151606310586e-01 2.719633648333288178e+01
9.582122835881906608e-01 6.860560675671401043e-02 3.658676087286000467e+01 2.215997636678419536e-01 3.449057198356458853e-01 2.711248661416049899e+01
9.236637924693159585e-01 5.460326763450317616e-02 3.962904768635916497e+01 1.984105565408368910e-01 3.301115525680262119e-01 2.714123284678369785e+01
9.236637924693159585e-01 5.460326763450317616e-02 3.962904768635916497e+01 1.984105565408368910e-01 3.301115525680262119e-01 2.714123284678369785e+01
9.731684243228115871e-01 4.695099139870348437e-02 4.060063229103029414e+01 1.965597722260439828e-01 3.557065832032418329e-01 2.986300048883216363e+01
9.731684243228115871e-01 4.695099139870348437e-02 4.060063229103029414e+01 1.965597722260439828e-01 3.557065832032418329e-01 2.986300048883216363e+01
9.822725185428498040e-01 6.534312170307103596e-02 4.293293362749973596e+01 2.601248754280151565e-01 3.618532041918816056e-01 2.811133188478037681e+01
9.031177720731002889e-01 8.139572425313358617e-02 3.588101909837084946e+01 2.726274721678315638e-01 4.502013353032169873e-01 3.363542996218061631e+01
9.373854875733754755e-01 4.028996618013622188e-02 3.523990872897440596e+01 2.429774881032910894e-01 4.966482918127381740e-01 3.549068736004247171e+01
9.373854875733754755e-01 4.028996618013622188e-02 3.523990872897440596e+01 2.429774881032910894e-01 4.966482918127381740e-01 3.549068736004247171e+01
9.090758993027188151e-01 3.195811433392869993e-02 3.308219017907302373e+01 2.583995595350473407e-01 4.675820230224941865e-01 3.367348056627437103e+01
